sort, nth_element, max_element, max_element_ben_deane, accumulate, transform_reduce
5398.48,5522.02,12539.2,12791.7,5600.33,10807.7
5336.95,6048.86,12755.2,12197.6,5210.78,10969.8
5520.19,7302.6,13143,12174.3,5521.92,11462.9
5390.32,4379.5,14351.9,12132.5,5129.26,11799
5374.08,6526.61,19283.5,12212.5,5267.41,12107
5593.89,4066.86,14810.6,12199.5,4829.85,12119.8
5914.24,6273.78,14158.9,16009.8,5410.05,12196.4
5692.78,2593.65,13688.1,12272.6,5515.88,11229.3
5756.91,2918.32,14534.8,12150.9,5277.72,11742.5
5719.61,3330.99,12487.2,13072.4,5566.07,11512.9
5748.75,5471.55,14490.2,12184.5,5454.31,12134.6
5517.86,4301.35,14094,12384.9,5577.54,12230.8
5610.49,6304.87,17435,12241.9,5174.1,11474.3
5361.59,7863.92,14618,12049.8,5255.41,11474.7
4989.27,6430.27,14326.6,16501.6,5268.79,12243.5
4825.58,4637.85,12949.7,12967.2,5420.98,12695.3
4630.62,3749.99,14855.8,12502.3,5488.98,12475.3
4767.7,3905.61,12499.6,12190.3,5032,10794
4690.57,2967.7,14660.6,12299.6,5366.8,11097
4732.15,6875.89,12467.2,11977.5,5594.73,12455.9
4735.82,5702.83,17171.1,12198.2,5575.48,11099.9
4612.47,7549.49,14635.3,13145.9,5445.44,11673.2
4661.46,3474.71,14489.5,16203.7,5116.09,12341.4
4697.7,3564.76,13788.9,12944.6,5597.3,10996.3
4457.1,5866.57,13379.4,12174.1,5378.86,12286.7
4490.87,6702.45,12673.3,13244.4,5579.71,11256.2
4462.23,6909.43,13678.2,13106.3,5457.47,12106.4
4694.29,4815.02,14170.2,12260.2,5283.61,11315.3
4648.32,5215.74,17580.7,12220.5,5326.91,11549.6
4679.3,6448.43,14786.7,12184.5,5506.24,11978
4674.55,3741.5,13937.5,16871.2,5332.41,12168.4
4722.85,6216.2,13643.2,12259.6,5229.27,11228.6
4714.86,1831.94,13589.6,12129.1,5549.22,12429.9
5855.02,5422.17,14110.2,12238.2,5575.77,11491
4980.29,3705.13,12936.9,12844.6,5526.94,11953.6
4894.78,6214.87,15233.3,12263.2,5442.89,12198.9
4816.89,6771.3,17841.4,12347.6,5472.65,12558.7
4825.21,4327.47,15555.6,12289.6,5210.62,12539
4698.79,4383.88,14751.1,16626.5,5525.87,12188.2
4853.34,3708.57,14670.5,12266.1,5051.23,11404.8
4769,4930.94,12404,12331.5,5225.68,11514.5
4786.56,6766.91,13316,12331.1,5353.33,12366
4590.78,3382.19,13715.2,12313.2,9480.45,12468.4
4755.8,2850.01,12656.3,13009,5430.47,10933.3
4766.54,5029.93,19041.9,12336.7,5324.5,12152.9
4908.23,5921.71,13609.5,12158.8,5500.12,12204.2
4901.01,2275.53,14018.1,16877.3,5553.24,11870.6
4868.54,4331.14,14268.3,12502.5,5522.89,12425.2
4680.31,3167.35,14973.7,12159.5,5059.15,11361.6
4765.53,3220.2,14276.8,12161.9,5492.06,12176.7
4807.26,3750.35,12484.2,12279.3,5447.93,12662.2
4819.57,1424.41,12259.8,12173.4,5613.55,11453.3
4852.81,5094.75,22840.8,12269.8,5591.71,12070.6
4907.58,5452.15,15298.2,12537.1,5467.24,11698.5
4891.6,3888.89,12975.8,17119.2,5494.46,12747
5015.27,4730.61,13649.9,12369.3,5387.54,12282.9
4976.76,4362.11,14231.1,12538.3,4931.49,11098.3
5126.93,7242.34,12714.9,13072.2,5429.72,11415.4
5111.41,6062.92,12427.8,12421.3,5592.98,11487.1
5094.93,7008.72,14446.7,12103.5,5357.65,11395.9
5343.86,7436.27,17382.8,12138.4,5694.3,12354.7
5152.94,4448.48,12684.8,12475.1,5226.5,12348.1
5196.68,5939.67,14070.7,16627.9,5199.77,11565.9
4945.64,6206.65,14493.4,12427,5437.76,11489
4608.51,4805.19,14480.8,12232.7,5500.44,12120.2
4614.15,6398.14,14214.2,12317.7,6654.63,12295.4
4603.81,3179.26,13241.7,12350.5,5554.05,11836.5
4746.93,4317.17,14117.3,13008.2,5093.34,12372.6
4707.2,5887.99,16420.8,12403.4,5339.43,12048.4
4801.24,8319.81,13315.5,13067.3,5489.96,12401.8
4906.78,4729.44,13305.5,16146,5504.47,11219.5
4878.18,7762.31,13699.9,12342.6,5361.08,12313.4
4950.94,4508.76,13902,12315.1,5147.31,12145.9
4966.35,6532.36,15704.7,12439.4,5428.71,12255.6
4819.69,5943.67,15045.2,12203.5,5567.62,12132.3
5283.07,4673.11,12729.2,12533.7,5559.28,11974.2
4855.22,3592.06,17237.4,11961.2,5578.51,11798.5
4848.84,1498.63,13290,12768.2,5640.57,11373.1
5563.66,7763.71,14292.4,17030.8,5253.08,12320.4
5848.6,6625.84,14210.9,13248,5488.42,11848.5
5813.01,4064.1,14654.2,12329.9,5707.98,12130.2
6182.21,7577.46,13223.3,12300.2,5502.56,12216.7
5684.77,5833.44,13618.3,11952.6,5566.89,12045.1
4882.23,6361.95,13402.1,12550.5,5412.29,12024.4
4630.72,6676,17035.5,12212,4842.04,12122.9
4472.61,4159.61,13336.8,12600.9,5422.56,12190
4564.18,6911.54,13316.8,16341.6,5486.64,12179.3
4531.97,7547.73,14504.9,12522.3,5437.25,12235.5
4627.39,5757.41,13645.6,12232,5134,11816.8
4746.93,5879.47,14357.1,12240.4,5161.06,12479.9
4750.02,5847.8,14172,13195.8,5091.96,12026.1
4755.47,5301.06,14469.2,12484.8,5221.89,11264
4819.63,6938.52,17532.2,12385.3,5527.69,11943.1
4889.27,6708.61,13962.6,12497.8,5405.24,12011.7
5023.64,4883.85,14873,16046.1,5323.21,12282.7
5026.3,7284.2,14509,12232.4,5111.01,12173.6
5037.22,5789.51,13722.9,12270,5506.77,11945.5
5093.48,4224.76,13702.7,12290.1,4911.86,11983.7
5262.26,5127.37,13720.9,12291,5573.9,12185.7
5380.37,6915.07,15124.1,12278.7,5521.35,12335.7
5308.44,6466.65,20615.2,12470.9,5563.7,12114
5332.68,5685.43,13416.2,12665.3,5385.28,11197.9
5275.3,6728.05,12671.6,16927.6,5631.97,12212.2
5263.21,2292.96,13169.3,12191.9,5458.1,12340.5
5359.4,6630.59,13866.2,11915.6,5635.6,11300.9
5241.18,6955.83,13604.6,12327.7,5389.35,11393
5714.63,2154.91,12649.8,12187,5069.76,11326.4
5325.24,4725.97,14334.4,12206.8,5146.01,11644.1
5165.56,3866.25,17531.6,12490,5303.45,10615.1
4693.57,5962.67,13899,12348.8,5606.65,10609.3
4623.94,6338.73,13119.6,15954.3,5400.63,12001.4
4925.18,5820.7,13007.3,12230.7,5510.77,11755.4
5117.57,6041.95,14244.5,12414.2,8306.62,11275.9
5248.22,4139.85,14311.8,12274.4,5222.54,11451.2
5336.92,3533.72,14939.7,12191.5,5033.95,12236.9
5408.04,6977.18,12975.5,13116.3,5422.73,11515.4
5401.65,6996.37,16959.9,12416.9,4931.84,11367.8
5444.04,8136.01,15113.1,12179.4,5210.24,11824.9
5411.37,4507.16,12727,16504.3,5489.87,24262.2
5385.15,5503.88,14734.1,12183.8,5465.06,12568.7
5219.96,4457.31,12694.2,12607.1,5149.05,11823.6
5447.18,2742.82,13484,12450.2,5667.9,14377.6
5260.85,5243.12,13639.6,12502.4,5465.33,11619.8
5380.59,7302.82,12791.6,11967.8,5455.3,10403.8
5427.26,4966.4,17546.2,12836.1,5554.65,10630.7
5541.12,6006.63,13139.5,12030.9,5583.86,10591.7
5686.75,4662.37,12969.7,17112.6,5547.45,10488.6
5450.18,5349.2,13770.1,12181.3,5461.69,10488.8
5485.51,5672.12,13467.9,12795.7,5175.55,10486.9
5470.23,3905.74,14824.2,12086.8,4898.28,10372.2
5446.28,5350.06,12990.1,12464.5,5851.42,10419.5
5353.5,4108.41,13046.5,12374.4,5629.14,10353.4
5357.91,2937.63,17566.9,13333.6,5550.28,10364
5510.09,3772.91,12628,12254.8,5489.84,10444.9
5426.94,7489.15,12369.5,17085.5,5585.99,10339.1
5344.22,7197.13,12142.1,12417.1,5283.78,10337.4
5458.83,7362.3,13295.5,12894.2,5549.89,10797.1
5409.85,6401.23,14787.5,13206.5,5487.62,10330.1
5812.17,4560.95,14603.7,12901.6,5562.56,10507.3
5442.05,5531.39,13037.6,12273.7,5249.6,10503.6
5395.13,4506.76,18462.5,12406.8,5682.15,11210.7
5356.87,3642.26,13681.1,12050.6,5550.61,10880.4
5469.29,5116.4,13704,16562.2,5413.87,10453.5
5307.73,5443.41,13238.8,12585.8,5460.99,10380.8
5386.71,3373.75,14503.2,11949.8,5361.24,10323.9
5282.97,4915.95,13262.1,12274,5353.56,10435.7
5353.56,5611.49,13189.8,12011.7,5367.09,10581.1
5381.48,6688.9,12870.4,12145.8,4956.75,13609
5511.65,7799.91,16230.6,12255.9,5641.47,10537.3
5436.08,1726.67,13447.4,12349.7,5514.72,10612.8
5421.56,7906.58,14459.2,16602.5,5711.88,10451.1
5362.96,7465.56,12865.2,11959,5292.34,10478.9
5249.99,5969.04,13695.5,12089,5468.44,13367.6
5324.94,5758.32,12988.7,12375.4,7026.52,11470.9
5385.85,6703.04,15611.3,12370.4,5236.58,10588.7
5271.83,6866.09,14357.2,12338.4,5554.44,11500.2
5200.66,4375.56,17221.7,12392.5,5445.31,10362.5
5167.77,10663.7,12757.1,12519.7,5487.25,11931.7
5267.53,7809.53,12665,16268.3,5242.81,11180.2
5351.03,5039.59,12468.8,12870.6,5560.76,12249.1
5203.84,5337.74,13827.1,12554.2,5538.56,10629.1
5281.76,7634.3,14654.2,12288.8,5381.59,10477.1
5290.23,4836.84,14828.2,12282.3,5636.89,10471.1
